,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Elevator,Accessible for disabled people,Intercom,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Outdoor parking spaces,Garden surface,Garden orientation,Conformity certification for fuel tanks,Covered parking spaces,Terrace surface,Planning permission obtained,Agent's name,Garden,Terrace,E-level (overall energy performance),Neighbourhood or locality,Attic surface,Bedroom 4 surface,Bedroom 5 surface,Basement surface,Professional space surface,Secure access / alarm,Living room,How many fireplaces?,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Obligation to build,Terrace orientation,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Maximum duration of annuity,Monthly charges,Number of annexes,Percentage rented,Property name,EPC description,Extra information,Age of annuitant
10057054,10057054,house,house,500000,forsale,5000,l,semiequipped,1992,,fueloil,179,4,3754,,true,,,,,2,6,,Namur,After signing the deed,,1992,,,4,,Link to the virtual visit,189m²square meters,,Yes,Semi equipped,15m²square meters,4,29m²square meters,17m²square meters,14m²square meters,1,,2,,,Yes,,No,3754m²square meters,,,Yes,,,,,,179 kWh/m²kilowatt hour per square meters,C,Not specified,1000 kg CO₂/m²,33975 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 500,000500000 €","€ 2,1072107 €",No,Place Albert 1er 9 5081- Saint-Denis-Bovesse,http://www.hexpertimmo.be,1710 - 202738,Namur,6,,South,,2,,,,Yes,,,,,14m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988012,9988012,house,house,500000,forsale,5002,l,semiequipped,1992,,fueloil,179,4,3754,,true,,,,,2,6,,Namur,After signing the deed,,1992,,,4,,Link to the virtual visit,189m²square meters,,Yes,Semi equipped,15m²square meters,4,29m²square meters,17m²square meters,14m²square meters,1,,2,,,Yes,,No,3754m²square meters,,,Yes,,,,,,179 kWh/m²kilowatt hour per square meters,C,Not specified,1000 kg CO₂/m²,33975 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 500,000500000 €","€ 2,1072107 €",No,Place Albert 1er 9 5081- Saint-Denis-Bovesse,http://www.hexpertimmo.be,1668 - 202721,Namur,6,,South,,2,,,,Yes,,,,,14m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9857211,9857211,house,villa,499000,forsale,5070,l,semiequipped,,good,pellet,328,3,1361,,,,,,,1,10,,Namur,,,,Good,,,,,130m²square meters,25m²square meters,,Semi equipped,,3,,,,1,,1,,,,,No,1361m²square meters,,,,,,,,,328 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Pellet,Yes,,,,,,,"€ 499,000499000 €",,No,Av. Delleur 17 1170- Watermael Boitsfort,http://www.cre.be,6238 - 416,Namur,10,,,"Yes, conform",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9412018,9412018,house,house,530000,forsale,5300,l,notinstalled,,,,487,8,4434,,true,,,,,,,,Namur,,,,,,4,,,515m²square meters,,,Not installed,,8,,,,3,,,,,Yes,,No,4434m²square meters,,,,,,,,,487 kWh/m²kilowatt hour per square meters,F,20190820010058,Not specified,167289 kWh/year,No,,Yes,,,,,,,"€ 530,000530000 €","€ 1,8271827 €",No,"Quai de la Batte, 4 4500- Huy",http://www.comptoir-foncier.be,2916 - 1047,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047928,10047928,house,house,525000,forsale,5080,l,,1977,,gas,193,5,1197,,true,1017,true,,,2,4,,Namur,,,1977,,45 m,4,,,230m²square meters,45m²square meters,Yes,,16m²square meters,5,20m²square meters,17m²square meters,16m²square meters,1,1,3,,,Yes,,No,1197m²square meters,,,Yes,,,,,,193 kWh/m²kilowatt hour per square meters,C,20220727021511,39 kg CO₂/m²,61904 kWh/year,No,Gas,Yes,,,,,,,"€ 525,000525000 €","€ 1,4451445 €",No,Place Albert 1er 9 5081- Saint-Denis-Bovesse,http://www.hexpertimmo.be,1749 - 202751,Namur,4,1017m²square meters,South East,,2,40m²square meters,,,,,,,,13m²square meters,12m²square meters,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106422,10106422,house,house,129000,forsale,5070,l,,,,,552,3,196,,,,,,,,,,Namur,After signing the deed,,,,,2,,,173m²square meters,,,,,3,,,,1,,,,,,,No,196m²square meters,,,,,,,,,552 kWh/m²kilowatt hour per square meters,G,20220916026160,Not specified,82064 kWh/year,No,,,,,,,,,"€ 129,000129000 €",€ 465465 €,No,"Rue de la Station, 64 5060- Tamines",http://www.immotoma.be,19326 - 6606,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9394612,9394612,house,exceptionalproperty,1760000,forsale,5537,l,notinstalled,,,,687,18,202520,,,,,,,,,,Namur,,,,,,4,,Link to the virtual visit,600m²square meters,,,Not installed,,18,,,,5,,,,,,,No,202520m²square meters,,,,,,,,,687 kWh/m²kilowatt hour per square meters,G,20210612007789,Not specified,307124 kWh/year,No,,,,,,,,,"€ 1,760,0001760000 €","€ 3,4563456 €",No,"Quai de la Batte, 4 4500- Huy",http://www.comptoir-foncier.be,2910 - 1232,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9991683,9991683,house,house,595000,forsale,5501,l,installed,,asnew,fueloil,214,4,2250,,true,,true,,,1,,,Namur,After signing the deed,,,As new,,4,"Living area (residential, urban or rural)",,168m²square meters,40m²square meters,,Installed,17m²square meters,4,18m²square meters,17m²square meters,18m²square meters,1,2,2,,,,,No,2250m²square meters,,,Yes,,,,,,214 kWh/m²kilowatt hour per square meters,C,20220519016051,53 kg CO₂/m²,Not specified,,Fuel oil,Yes,,,,,,,"€ 595,000595000 €","€ 1,0941094 €",Yes,Rue de Dinant 85 5570- Beauraing,,,Namur,,,North East,,1,,,,Yes,Yes,,,,10m²square meters,,43m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,North East,,,,,,,,,,,,,,650,,,,20,,,,
9974681,9974681,house,house,199000,forsale,5060,l,,,justrenovated,gas,93,3,1,,,10,,,,2,,,Namur,After signing the deed,,,Just renovated,,2,,,120m²square meters,30m²square meters,,,,3,,,,1,,2,,,,,No,1m²square meter,,,Yes,,,,,,93 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,11174 kWh/year,No,Gas,Yes,,,,,,,"€ 199,000199000 €",,No,Av. Delleur 17 1170- Watermael Boitsfort,http://www.cre.be,6276 - 407,Namur,,10m²square meters,,,2,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9974684,9974684,house,house,220000,forsale,5060,l,,,justrenovated,gas,91,3,1,,,20,,,,2,,,Namur,After signing the deed,,,Just renovated,,2,,,165m²square meters,42m²square meters,,,,3,,,,1,,2,,,,,No,1m²square meter,,,Yes,,,,,,91 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,14943 kWh/year,No,Gas,Yes,,,,,,,"€ 220,000220000 €",,No,Av. Delleur 17 1170- Watermael Boitsfort,http://www.cre.be,6279 - 407,Namur,,20m²square meters,,,2,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9974683,9974683,house,house,199000,forsale,5060,l,,,justrenovated,gas,95,3,1,,,8,,,,1,,,Namur,After signing the deed,,,Just renovated,,2,,,135m²square meters,35m²square meters,,,,3,,,,1,,2,,,,,No,1m²square meter,,,Yes,,,,,,95 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,12816 kWh/year,No,Gas,Yes,,,,,,,"€ 199,000199000 €",,No,Av. Delleur 17 1170- Watermael Boitsfort,http://www.cre.be,6278 - 407,Namur,,8m²square meters,,,1,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020950,10020950,house,farmhouse,250000,forsale,5660,l,notinstalled,1930,torenovate,wood,,3,1200,true,true,1000,true,,,1,1,,Namur,Immediately,,1930,To renovate,17 m,4,"Living area (residential, urban or rural)",,170m²square meters,35m²square meters,,Not installed,35m²square meters,3,,,,,,,,No,,,,1200m²square meters,,Not connected,Yes,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Wood,No,,,,,Non flood zone,Another type of area,"€ 250,000250000 €",,No,,,,Namur,1,1000m²square meters,South East,,1,24m²square meters,,,,,,,70m²square meters,,,30m²square meters,70m²square meters,,,,No,,No,No,Yes,No,Yes,No,,,,,,,No,No,No,No,,,South East,,,,,,,,,,,,,,,,,,,,,,
10103925,10103925,house,villa,280000,forsale,5620,l,installed,1978,tobedoneup,electric,,4,1000,true,true,,true,true,,1,2,,Namur,Immediately,,1978,To be done up,,4,"Living area (residential, urban or rural)",,150m²square meters,20m²square meters,Yes,Installed,10m²square meters,4,16m²square meters,10m²square meters,10m²square meters,1,,2,10m²square meters,Yes,,,,1000m²square meters,20 mmeters,Connected,Yes,No,Yes,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Electric,Yes,,Yes,,No,,"Living area (residential, urban or rural)","€ 280,000280000 €",€ 974974 €,No,,,,Namur,2,,,,1,40m²square meters,Yes,,,,,,100m²square meters,8m²square meters,,100m²square meters,,No,,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Villa,,North West,,,,,,,,,Yes,,,,,,,,,,,,,
10117970,10117970,house,house,115000,forsale,5060,l,,,,,715,2,179,,,,,,,,,,Namur,After signing the deed,,,,,3,,,95m²square meters,,,,,2,,,,1,,,,,,,No,179m²square meters,,,,,,,,,715 kWh/m²kilowatt hour per square meters,G,20220921010707,Not specified,66722 kWh/year,No,,Yes,,,,,,,"€ 115,000115000 €",€ 317317 €,No,"Rue de la Station, 64 5060- Tamines",http://www.immotoma.be,19409 - 6614,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9971790,9971790,house,house,125000,forsale,5060,l,,,,fueloil,372,3,304,,,,,,,,,,Namur,After signing the deed,,,,,4,,,,,,,,3,,,,1,,1,,,,,No,304m²square meters,,,,,,,,,372 kWh/m²kilowatt hour per square meters,E,20220613008584,Not specified,44570 kWh/year,No,Fuel oil,,,,,,,,"€ 125,000125000 €",€ 328328 €,No,Rue Charles Dupret 13 6000- Charleroi,http://www.immotoma.be,19111 - 6540,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9642441,9642441,house,villa,385000,forsale,5310,l,usahyperequipped,2021,asnew,electric,89,3,898,,,,true,true,,,2,1,Namur,After signing the deed,,2021,As new,,4,,,168m²square meters,27m²square meters,,USA hyper equipped,13m²square meters,3,14m²square meters,12m²square meters,10m²square meters,1,,2,5m²square meters,Yes,,,No,898m²square meters,,Connected,Yes,,,Yes,Yes,,89 kWh/m²kilowatt hour per square meters,B,PEB Permis d'urbanisme en attente version définitive de l'architecte,Not specified,Not specified,,Electric,,,,,,,,"€ 385,000385000 €",,,Rue Entrée Jacques 78/12 5030- Gembloux,http://www.homesweethomeimmo.be,,Namur,2,,East,,,18m²square meters,,,Yes,,,,,,,,,,,1,Yes,Yes,,,,,,Yes,,,,,,,Yes,,,,,,East,,,,,,,,,,,,,,,,,,,,,,
10060133,10060133,house,villa,390000,forsale,5640,l,semiequipped,1995,,electric,,4,2153,true,true,2100,true,true,,3,3,,Namur,,,1995,,,4,Countryside,,218m²square meters,22m²square meters,Yes,Semi equipped,11m²square meters,4,17m²square meters,9m²square meters,9m²square meters,1,,2,13m²square meters,Yes,,,,2153m²square meters,,Connected,No,No,No,No,Yes,No,Not specified,E,20141219020956,Not specified,Not specified,,Electric,Yes,,,,,Non flood zone,,"€ 390,000390000 €","€ 1,1101110 €",No,,,,Namur,3,2100m²square meters,South,,3,18m²square meters,,,,,,,7m²square meters,9m²square meters,,3m²square meters,,Yes,,,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,All kind,,South,,,,,,,,,,,,,,,,,1,,,,,
10083591,10083591,house,house,120000,forsale,5650,l,notinstalled,,torenovate,fueloil,442,4,143,true,true,,,true,,1,,,Namur,After signing the deed,,,To renovate,,3,Isolated,,,40m²square meters,,Not installed,27m²square meters,4,17m²square meters,17m²square meters,14m²square meters,1,1,1,11m²square meters,Yes,Yes,Yes,No,143m²square meters,,Connected,No,,,,,,442 kWh/m²kilowatt hour per square meters,F,20211231001825,110 kg CO₂/m²,121789 kWh/year,,Fuel oil,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 120,000Make an offer starting from120000 €",€ 337337 €,No,Rue de la Croix 16 6042- Charleroi,,4895619,Namur,,,,,1,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149292,10149292,house,house,150000,forsale,5680,l,,,torenovate,,332,6,2914,true,,,true,true,,2,,,Namur,Immediately,,,To renovate,,3,Urban,Link to the virtual visit,415m²square meters,21m²square meters,Yes,,,6,17m²square meters,18m²square meters,17m²square meters,1,,1,27m²square meters,Yes,,Yes,,2914m²square meters,,,,,,,,,332 kWh/m²kilowatt hour per square meters,D,20220810000160,Not specified,96640 kWh/year,,,Yes,,No,No,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 547547 €,No,Rue de Mettet 68 5620- Florennes,,,Namur,,,North West,,2,,Yes,Angela RICCI,Yes,Yes,,,,19m²square meters,18m²square meters,,,,,,,,,,,Yes,,Yes,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
9959327,9959327,house,house,175000,forsale,5060,l,,,tobedoneup,fueloil,581,2,600,,true,,true,,,1,,,Namur,After signing the deed,,,To be done up,,3,,,90m²square meters,,,,,2,17m²square meters,13m²square meters,,1,,2,,,Yes,,No,600m²square meters,,,Yes,,,,,,581 kWh/m²kilowatt hour per square meters,G,20220206018062,Not specified,84564 kWh/year,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 175,000Make an offer starting from175000 €",€ 542542 €,No,Route de Landen 82 4280- Hannut,http://www.immobilierela.be,1009524 - 1028,Namur,,,North East,,1,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019455,10019455,house,house,195000,forsale,5190,l,,,tobedoneup,fueloil,315,4,231,,true,,,,,,,,Namur,,,,To be done up,,2,,,175m²square meters,,,,17m²square meters,4,26m²square meters,17m²square meters,17m²square meters,1,,1,,,Yes,,No,231m²square meters,,,,,,,,,315 kWh/m²kilowatt hour per square meters,D,20220125000124,Not specified,57962 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 195,000195000 €",€ 523523 €,No,Route de Landen 82 4280- Hannut,http://www.immobilierela.be,1009548 - 1031,Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095694,10095694,house,house,249000,forsale,5300,l,installed,,,pellet,396,2,1534,,true,,,,,1,4,,Namur,,,,,,4,,,97m²square meters,,,Installed,10m²square meters,2,12m²square meters,8m²square meters,,,1,1,,,Yes,,No,1534m²square meters,,,Yes,,,,,,396 kWh/m²kilowatt hour per square meters,E,20220613014228,Not specified,41233 kWh/year,No,Pellet,Yes,,,,,,,"Make an offer starting from€ 249,000Make an offer starting from249000 €","€ 1,0211021 €",No,Rue Brun 11 5300- Andenne,,42977 - 19641,Namur,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106051,10106051,house,house,255000,forsale,5530,l,installed,,asnew,fueloil,353,2,253,,,253,,,,1,2,,Namur,After signing the deed,,,As new,,2,Urban,,102m²square meters,24m²square meters,,Installed,,2,16m²square meters,12m²square meters,,1,1,1,,,,,No,253m²square meters,,Connected,No,No,,Yes,,,353 kWh/m²kilowatt hour per square meters,E,20141110005738,Not specified,49903 kWh/year,,Fuel oil,Yes,,,,,,,"€ 255,000255000 €",€ 493493 €,No,Rue de la Hulle 1 5170- Profondeville,http://www.ideesimmo.be,4927939,Namur,2,253m²square meters,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097764,10097764,house,manorhouse,249000,forsale,5310,l,semiequipped,,tobedoneup,electric,597,1,748,,,,,true,,1,,,Namur,After signing the deed,,,To be done up,,3,,,,24m²square meters,Yes,Semi equipped,18m²square meters,1,16m²square meters,,,1,,2,13m²square meters,Yes,,,No,748m²square meters,,,,,,,,,597 kWh/m²kilowatt hour per square meters,G,20220829017086,145 kg CO₂/m²,109442 kWh/year,No,Electric,Yes,,,,,,,"Make an offer starting from€ 249,000Make an offer starting from249000 €",€ 451451 €,No,Avenue Faculté d'Agronomie 41 5030- Gembloux,http://www.bonnivers.be,42947 - 20216,Namur,,,North East,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787168,9787168,house,house,245000,forsale,5000,l,installed,1935,justrenovated,gas,263,4,278,,true,,,,,,,,Namur,After signing the deed,,1935,Just renovated,,2,,,168m²square meters,31m²square meters,,Installed,7m²square meters,4,16m²square meters,13m²square meters,13m²square meters,1,,2,,,,,No,278m²square meters,,Connected,Yes,,,,Yes,,263 kWh/m²kilowatt hour per square meters,D,20220225016836,Not specified,Not specified,,Gas,Yes,,,,,,,"€ 245,000245000 €",€ 756756 €,,Rue Entrée Jacques 78/12 5030- Gembloux,http://www.homesweethomeimmo.be,,Namur,,,,,,,,,,,,,,11m²square meters,,46m²square meters,,,,2,Yes,,,,,,,Yes,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
10106050,10106050,house,house,255000,forsale,5530,l,usainstalled,,asnew,fueloil,310,2,225,,,225,,,,1,2,,Namur,After signing the deed,,,As new,,2,Urban,,96m²square meters,,,USA installed,,2,,,,1,1,1,,,,,No,225m²square meters,,Connected,No,No,,Yes,,,310 kWh/m²kilowatt hour per square meters,D,20220511026612,Not specified,41127 kWh/year,,Fuel oil,Yes,,,,,,,"€ 255,000255000 €",€ 439439 €,No,Rue de la Hulle 1 5170- Profondeville,http://www.ideesimmo.be,4927851,Namur,2,225m²square meters,,,1,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110402,10110402,house,house,290000,forsale,5590,l,semiequipped,1951,tobedoneup,fueloil,453,3,462,true,true,,true,,,1,2,,Namur,After signing the deed,,1951,To be done up,,3,,Link to the virtual visit,161m²square meters,,Yes,Semi equipped,14m²square meters,3,15m²square meters,17m²square meters,9m²square meters,,1,2,,,,,No,462m²square meters,,Connected,Yes,,,,Yes,,453 kWh/m²kilowatt hour per square meters,F,20220909012156,112 kg CO₂/m²,73028 kWh/year,,Fuel oil,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 290,000290000 €",€ 758758 €,No,Rue Charles Balthasar 85 5590- Ciney,http://www.i-vert.be,,Namur,2,,North East,No,1,,Yes,,Yes,Yes,,,40m²square meters,,,51m²square meters,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,North East,,,,,,,,,,,,,,,,,1,,,,,
9548898,9548898,house,house,295000,forsale,5070,l,semiequipped,1850,torenovate,fueloil,396,5,1324,true,true,,true,,,2,,,Namur,After signing the deed,,1850,To renovate,,4,,,295m²square meters,35m²square meters,Yes,Semi equipped,15m²square meters,5,22m²square meters,21m²square meters,20m²square meters,1,,2,,,,,No,1324m²square meters,,Connected,Yes,,,,,,396 kWh/m²kilowatt hour per square meters,E,20211004009454,Not specified,168499 kWh/year,,Fuel oil,Yes,,,,,,,"€ 295,000295000 €",€ 639639 €,,Rue Entrée Jacques 78/12 5030- Gembloux,http://www.homesweethomeimmo.be,,Namur,,,,"Yes, conform",2,150m²square meters,,,,,,,87m²square meters,15m²square meters,12m²square meters,50m²square meters,23m²square meters,,,3,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10111153,10111153,house,house,300000,forsale,5590,l,installed,2012,asnew,fueloil,116,3,316,,true,,true,,,2,3,,Namur,Depending on the tenant,,2012,As new,,3,,Link to the virtual visit,143m²square meters,,Yes,Installed,32m²square meters,3,18m²square meters,16m²square meters,14m²square meters,,1,2,,,,,No,316m²square meters,,Connected,Yes,,,,Yes,,116 kWh/m²kilowatt hour per square meters,B,20121108001092,29 kg CO₂/m²,16609 kWh/year,,Fuel oil,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 300,000300000 €",€ 857857 €,No,Rue Charles Balthasar 85 5590- Ciney,http://www.i-vert.be,,Namur,3,,South West,No,2,,Yes,,Yes,Yes,,,,,,75m²square meters,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,
10093197,10093197,house,house,349000,forsale,5530,l,installed,,justrenovated,fueloil,359,4,668,,,5,true,,true,1,2,,Namur,After signing the deed,,,Just renovated,,3,Countryside,,,,Yes,Installed,1248m²square meters,4,136m²square meters,128m²square meters,1598m²square meters,2,,2,,No,,,,668m²square meters,,,No,No,No,No,Yes,Yes,359 kWh/m²kilowatt hour per square meters,E,20220829001617,89 kg CO₂/m²,Not specified,,Fuel oil,Yes,,,,,Non flood zone,,"€ 349,000349000 €",€ 644644 €,No,,,,Namur,2,5m²square meters,,,1,30m²square meters,,,,,,,,19m²square meters,,,,No,Yes,1,No,,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,
10078119,10078119,house,villa,350000,forsale,5640,l,semiequipped,,good,fueloil,449,3,2200,,,,true,true,,,,,Namur,,,,Good,,4,Isolated,,200m²square meters,50m²square meters,,Semi equipped,10m²square meters,3,20m²square meters,15m²square meters,,1,,,10m²square meters,Yes,,,,2200m²square meters,,Connected,No,No,,,Yes,,449 kWh/m²kilowatt hour per square meters,F,20220522005739,112 kg CO₂/m²,79440 kWh/year,,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 350,000Make an offer starting from350000 €","€ 1,3411341 €",No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4894497,Namur,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9977579,9977579,house,villa,350000,forsale,5060,l,,,asnew,fueloil,442,4,1800,,true,,true,,,2,5,,Namur,,,,As new,,4,,,175m²square meters,40m²square meters,,,,4,16m²square meters,15m²square meters,13m²square meters,1,,2,,,Yes,,No,1800m²square meters,,,,,,,,,442 kWh/m²kilowatt hour per square meters,F,2022170300245689,Not specified,103568 kWh/year,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 350,000Make an offer starting from350000 €","€ 1,1821182 €",No,Route de Landen 82 4280- Hannut,http://www.immobilierela.be,1009536 - 1030,Namur,5,,,,2,,,,,Yes,,,,11m²square meters,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119876,10119876,house,countrycottage,340000,forsale,5641,l,semiequipped,,asnew,fueloil,207,3,858,true,true,858,true,,,1,1,,Namur,After signing the deed,,,As new,,3,Countryside,Link to the virtual visit,190m²square meters,35m²square meters,Yes,Semi equipped,17m²square meters,3,18m²square meters,16m²square meters,22m²square meters,1,1,2,,,Yes,Yes,No,858m²square meters,,Connected,No,,,,Yes,,207 kWh/m²kilowatt hour per square meters,C,20220728002095,Not specified,113557 kWh/year,,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 340,000Make an offer starting from340000 €",€ 706706 €,No,Rue de la Hulle 1 5170- Profondeville,http://www.ideesimmo.be,4929787,Namur,1,858m²square meters,,,1,38m²square meters,,,,,,,,,,,37m²square meters,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
10108292,10108292,house,villa,399000,forsale,5020,l,semiequipped,,tobedoneup,fueloil,273,6,1400,true,true,,true,true,,2,3,,Namur,After signing the deed,,,To be done up,,4,Isolated,,410m²square meters,,,Semi equipped,,6,,,,1,1,1,,Yes,Yes,Yes,No,1400m²square meters,,Connected,No,,,,Yes,,273 kWh/m²kilowatt hour per square meters,D,20220807006944,Not specified,Not specified,,Fuel oil,Yes,,,,,,,"€ 399,000399000 €",,No,"Avenue du Centenaire, 56 6061- Montignies-sur-Sambre",http://www.immocontact.be,4929367,Namur,3,,,,2,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9891871,9891871,house,villa,399000,forsale,5150,l,hyperequipped,1900,tobedoneup,fueloil,502,3,1748,true,true,,true,true,,1,2,,Namur,To be defined,,1900,To be done up,,4,,,194m²square meters,37m²square meters,,Hyper equipped,16m²square meters,3,18m²square meters,18m²square meters,20m²square meters,1,,1,20m²square meters,Yes,,,No,1748m²square meters,,,Yes,,,,Yes,,502 kWh/m²kilowatt hour per square meters,F,20220420003944,Not specified,Not specified,,Fuel oil,Yes,,,,,,,"€ 399,000399000 €",€ 868868 €,,Rue Entrée Jacques 78/12 5030- Gembloux,http://www.homesweethomeimmo.be,,Namur,2,,,,1,58m²square meters,,Vanessa Pinckaers,,,,,39m²square meters,,,39m²square meters,,,,1,Yes,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
